   1  matched source   92.41642   -6.25161  99  *****
 Frequency     nufnu     nufnu unc.  nufnu unc. start time   end time   Flag  Catalog          Reference
    Hz       erg/cm2/s     upper       lower        MJD         MJD   
---------------------------------------------------------------------------------------------------------------------------
 8.817E+13   6.990E-14   6.990E-14   6.990E-14  55272.7227  55272.7227   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 6.517E+13   1.249E-13   1.605E-13   9.724E-14  55272.7227  55272.7227   Det  WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 2.498E+13   1.762E-13   1.762E-13   1.762E-13  55272.7227  55272.7227   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 1.363E+13   1.341E-12   1.803E-12   9.981E-13  55272.7227  55272.7227   Det  WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 8.817E+13   1.524E-13   1.765E-13   1.315E-13  55272.7891  55272.7891   Det  WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 6.517E+13   1.177E-13   1.538E-13   9.000E-14  55272.7891  55272.7891   Det  WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 2.498E+13   2.518E-13   2.518E-13   2.518E-13  55272.7891  55272.7891   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 1.363E+13   7.571E-13   7.571E-13   7.571E-13  55272.7891  55272.7891   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 8.817E+13   9.928E-14   1.282E-13   7.685E-14  55272.8555  55272.8555   Det  WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 6.517E+13   1.136E-13   1.136E-13   1.136E-13  55272.8555  55272.8555   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 2.498E+13   3.101E-13   3.101E-13   3.101E-13  55272.8555  55272.8555   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 1.363E+13   1.018E-12   1.018E-12   1.018E-12  55272.8555  55272.8555   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 8.817E+13   7.864E-14   1.184E-13   5.225E-14  55464.3359  55464.3359   Det  WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 6.517E+13   1.371E-13   1.371E-13   1.371E-13  55464.3359  55464.3359   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
