   1  matched source   69.05225  -34.37506  99  *****
 Frequency     nufnu     nufnu unc.  nufnu unc. start time   end time   Flag  Catalog          Reference
    Hz       erg/cm2/s     upper       lower        MJD         MJD   
---------------------------------------------------------------------------------------------------------------------------
 1.363E+13   9.161E-13   9.161E-13   9.161E-13  55239.1055  55239.1055   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 8.817E+13   3.588E-14   3.588E-14   3.588E-14  55239.0391  55239.0391   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 6.517E+13   6.647E-14   6.647E-14   6.647E-14  55239.0391  55239.0391   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 2.498E+13   1.953E-13   1.953E-13   1.953E-13  55239.0391  55239.0391   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 1.363E+13   7.151E-13   7.151E-13   7.151E-13  55239.0391  55239.0391   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 8.817E+13   5.139E-14   7.360E-14   3.588E-14  55239.5039  55239.5039   Det  WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 6.517E+13   7.116E-14   7.116E-14   7.116E-14  55239.5039  55239.5039   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 2.498E+13   1.888E-13   1.888E-13   1.888E-13  55239.5039  55239.5039   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 1.363E+13   1.256E-12   1.256E-12   1.256E-12  55239.5039  55239.5039   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 8.817E+13   3.490E-14   3.490E-14   3.490E-14  55239.5039  55239.5039   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 6.517E+13   5.478E-14   5.478E-14   5.478E-14  55239.5039  55239.5039   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 2.498E+13   2.230E-13   2.230E-13   2.230E-13  55239.5039  55239.5039   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 1.363E+13   1.064E-12   1.064E-12   1.064E-12  55239.5039  55239.5039   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 8.817E+13   4.278E-14   4.278E-14   4.278E-14  55239.6367  55239.6367   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 6.517E+13   5.886E-14   5.886E-14   5.886E-14  55239.6367  55239.6367   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 2.498E+13   0.000E+00   0.000E+00   0.000E+00  55239.6367  55239.6367   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 1.363E+13   0.000E+00   0.000E+00   0.000E+00  55239.6367  55239.6367   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
