identifier;type;ra [°];dec [°];redshift
5BZQJ1148+5254;FSRQ;177,23570;52,90703;1,632
4FGL J1149.1+2819;;177,28711;28,40969;
PMN J1149-4029;;177,32380;-40,49673;
5BZBJ1149+6243;BL Lac;177,35892;62,72569;
5BZBJ1149+2439;BL Lac;177,37646;24,65744;0,402
5BZBJ1149+1035;BL Lac;177,48195;10,58558;
5BZGJ1150+5528;;177,50032;55,47261;0,139
5BZQJ1150+4332;FSRQ;177,56917;43,53497;3,037
3HSPJ115017.0+101653;BL Lac;177,57088;10,28136;0,284
5BZBJ1150+2417;BL Lac;177,58005;24,29828;
5BZQJ1150+0156;FSRQ;177,60330;1,93897;0,706
5BZQJ1150-1930;FSRQ;177,63136;-19,51375;2,489
3HSPJ115031.8-381833;BL Lac;177,63239;-38,30914;0,300
5BZBJ1150+4154;BL Lac;177,64488;41,91114;0,320
5BZQJ1150-0023;FSRQ;177,68279;-0,39839;1,976
5BZQJ1151-1723;FSRQ;177,76332;-17,39994;1,751
SDSS J115124.69+0957;;177,82212;9,97398;
5BZBJ1151+5859;BL Lac;177,85283;58,98822;0,300
5BZBJ1151-1347;BL Lac;177,87483;-13,79742;
PKS 1149-480;;177,90770;-48,36832;
NVSS J115140-211345;;177,91798;-21,22848;
5BZBJ1152+2837;BL Lac;178,04462;28,62255;0,441
5BZQJ1152-0841;FSRQ;178,07172;-8,68425;2,370
5BZBJ1152+1531;BL Lac;178,09245;15,53003;
5BZQJ1152+3209;FSRQ;178,11455;32,16644;0,374
5BZQJ1152+4939;FSRQ;178,13696;49,66078;1,093
3HSPJ115244.8+340639;BL Lac;178,18683;34,11075;0,705
5BZQJ1152+3307;FSRQ;178,21629;33,12189;1,400
5BZQJ1152-0519;FSRQ;178,23122;-5,33014;1,983
3HSPJ115257.6+241345;BL Lac;178,24016;24,22928;0,175
5BZQJ1153+8058;FSRQ;178,30209;80,97478;1,250
5BZQJ1153+0914;FSRQ;178,30229;9,23397;0,696
PKS B1150-108;;178,34297;-11,08683;
5BZUJ1153+5831;;178,34991;58,52739;0,202
5BZQJ1153+4931;FSRQ;178,35196;49,51911;0,334
3FGL J1153.7-2555;;178,36011;-25,90192;
5BZQJ1153+3617;FSRQ;178,36125;36,29064;1,358
PMN J1153-2553;;178,41024;-25,90366;
5BZBJ1153+3823;BL Lac;178,42880;38,38497;0,410
5BZQJ1153+4036;FSRQ;178,47775;40,61461;0,916
5BZQJ1154+5934;FSRQ;178,50571;59,58172;0,871
5BZBJ1154-0010;BL Lac;178,51900;-0,16942;0,254
5BZQJ1154+6022;FSRQ;178,51901;60,37247;1,120
NVWJ1154.0+1857;;178,52550;18,95660;
5BZBJ1154-3242;;178,52580;-32,71202;
5BZGJ1154+0238;;178,53867;2,63753;0,211
5BZGJ1154+1225;;178,54341;12,41936;0,081
5BZQJ1155-3107;FSRQ;178,76317;-31,13297;4,300
4FGL J1155.2+4320;;178,78058;43,27260;1,176
3HSPJ115514.9-111123;BL Lac;178,81190;-11,18958;0,470
5BZBJ1155+0926;BL Lac;178,82613;9,44478;0,470
3HSPJ115520.5-341720;BL Lac;178,83549;-34,28883;
3HSPJ115522.1-135111;BL Lac;178,84195;-13,85297;0,470
3HSPJ115531.3+060856;BL Lac;178,88046;6,14881;0,368
NVWJ1155.6-0835;;178,89550;-8,59280;
4FGL J1155.8-1217;;178,90341;-12,27653;
5BZQJ1155+0214;FSRQ;178,92726;2,23642;0,873
5BZUJ1155-8101;;178,94225;-81,02170;1,395
3FGL J1155.9+6136;;178,95169;61,59830;
3HSPJ115633.2-225004;BL Lac;179,13841;-22,83450;
5BZGJ1156+4238;;179,19400;42,63539;0,172
3HSPJ115653.2+241246;BL Lac;179,22163;24,21278;0,145
4FGL J1156.6+0640;;179,25272;6,68683;
5BZGJ1157+2822;;179,28972;28,36686;0,300
3HSPJ115803.8-033338;BL Lac;179,51562;-3,56044;0,370
5BZGJ1158+2450;;179,60745;24,83833;0,202
5BZQJ1158+4825;FSRQ;179,61154;48,42117;2,028
3HSPJ115853.2+081943;BL Lac;179,72168;8,32869;0,290
5BZBJ1158+0937;BL Lac;179,72655;9,61992;
3HSPJ115904.4+210209;BL Lac;179,76820;21,03592;0,350
5BZUJ1159-2228;;179,79697;-22,47692;0,565
4FGL J1158.9+0956;;179,79944;9,91305;
3HSPJ115912.6-143155;BL Lac;179,80263;-14,53189;0,480
5BZUJ1159-0940;;179,80295;-9,68111;
5BZQJ1159-2142;FSRQ;179,83929;-21,71247;0,617
3FGL J1159.6-0723;;179,88251;-7,39896;
5BZQJ1159+2914;FSRQ;179,88263;29,24550;0,729
5BZQJ1159-2148;FSRQ;179,96629;-21,81492;0,927
87GB 115739.6+021927;;180,05145;2,03570;
3FGL J1200.8+1228;;180,16679;12,51756;
5BZGJ1200+4758;;180,19501;47,97453;0,270
3HSPJ120055.1-143040;BL Lac;180,22963;-14,51103;0,480
3FGL J1200.9+2010;;180,23798;20,14572;
5BZGJ1201-0007;;180,27579;-0,11711;0,165
2MASS J12011113-0332;;180,29640;-3,53877;
5BZQJ1201+0900;FSRQ;180,36417;9,01120;1,016
3HSPJ120136.0-060734;BL Lac;180,40018;-6,12619;
5BZGJ1201-0011;;180,43192;-0,18722;0,164
OM 198;;180,43445;14,52679;
3HSPJ120205.8+283326;BL Lac;180,52405;28,55728;0,379
5BZBJ1202+4444;BL Lac;180,53609;44,73958;0,297
5BZQJ1202+2756;FSRQ;180,64166;27,94056;0,672
5BZQJ1202-0528;FSRQ;180,64259;-5,46736;0,381
5BZBJ1202+3851;BL Lac;180,73775;38,86317;
5BZBJ1203+6031;BL Lac;180,76462;60,52197;0,065
4FGL J1202.9+5141;;180,77965;51,67516;0,063
TXS 1200+115;;180,80409;11,30482;
3HSPJ120317.9-392621;BL Lac;180,82454;-39,43914;0,280
5BZQJ1203+4803;FSRQ;180,87437;48,05378;0,817
5BZBJ1203+5430;BL Lac;180,88196;54,50247;0,478
NVWJ1203.8+3049;;180,88240;30,81730;
5BZQJ1203+4510;FSRQ;180,89751;45,18045;1,075
NVWJ1203.0+5957;;180,96320;59,96290;
5BZBJ1203+5819;BL Lac;180,98058;58,32931;
4FGL J1204.4+3750;;181,01285;37,97731;
5BZBJ1204+1145;BL Lac;181,05049;11,76539;0,296
5BZGJ1204-0710;;181,06943;-7,16914;0,184
NVWJ1204.5+3627;;181,07010;36,45170;
3HSPJ120440.3+503928;BL Lac;181,16800;50,65772;0,700
3HSPJ120444.8-032144;BL Lac;181,18671;-3,36231;0,700
3FGL J1205.4+0412;;181,21532;4,13725;
3HSPJ120454.1+533038;BL Lac;181,22545;53,51042;0,402
5BZQJ1204-5055;FSRQ;181,24545;-50,93239;1,083
5BZQJ1205-2634;FSRQ;181,38838;-26,56792;0,789
SDSS J120542.82+3321;;181,42845;33,36305;
3HSPJ120543.3+582934;BL Lac;181,43030;58,49267;0,400
5BZQJ1205+0053;FSRQ;181,45204;0,89553;0,932
5BZQJ1206+2822;FSRQ;181,58188;28,38183;1,507
4C +04.40;;181,58304;4,10335;
5BZBJ1206+0529;BL Lac;181,74179;5,49783;
5BZBJ1207+1715;BL Lac;181,79153;17,26369;
5BZBJ1207-1746;;181,79793;-17,76833;0,700
5BZQJ1207+1211;FSRQ;181,80258;12,19606;0,892
1RXS J120722.5-05244;;181,84375;-5,41167;
5BZQJ1207+2754;FSRQ;181,86624;27,91633;2,180
NVSS J120738-223250;;181,90443;-22,50986;
3FGL J1207.6-2232;;181,90880;-22,54751;
5BZQJ1207-0106;FSRQ;181,92368;-1,11019;1,006
3FGL J1207.6-4537;;181,92581;-45,50494;
3HSPJ120744.7+314851;BL Lac;181,93608;31,81428;0,670
5BZBJ1208+3015;BL Lac;182,01801;30,26400;0,330
ATLAS-RFC;;182,02312;25,23729;
5BZBJ1208-2937;BL Lac;182,07504;-29,63331;0,249
3FGL J1208.2-7810;;182,07648;-78,16351;
NVWJ1208.5+3529;;182,10740;35,49970;
5BZUJ1208+6121;;182,15462;61,35181;0,275
5BZBJ1208+1159;BL Lac;182,15529;11,99383;0,369
3HSPJ120850.7+452951;BL Lac;182,21104;45,49755;0,654
5BZQJ1208+5441;FSRQ;182,22604;54,69947;1,343
NVSS J120856-175647;;182,23651;-17,94640;
NVSS J120900-275350;;182,25082;-27,89736;
5BZQJ1209-2406;FSRQ;182,26021;-24,10578;1,299
3HSPJ120905.2-462948;BL Lac;182,27162;-46,49678;
5BZBJ1209-2032;BL Lac;182,31088;-20,54417;0,404
5BZBJ1209+4119;BL Lac;182,34496;41,32817;
2MASS J12093020+7609;;182,37616;76,15332;
5BZQJ1209-4016;FSRQ;182,39684;-40,27031;0,966
5BZBJ1209+0210;BL Lac;182,40967;2,17144;0,291
5BZQJ1209+2547;FSRQ;182,43788;25,78436;1,435
5BZQJ1209+1810;FSRQ;182,46567;18,16855;0,846
5BZGJ1210+0223;;182,57379;2,39544;0,383
5BZBJ1210+3929;BL Lac;182,61113;39,48583;0,617
3HSPJ121038.3-252714;BL Lac;182,65971;-25,45383;0,470
PMN J1211-3754;;182,75729;-37,92194;
3HSPJ121129.0-072240;BL Lac;182,87071;-7,37769;0,280
5BZBJ1211+3900;BL Lac;182,89267;39,01495;0,600
NVSS J121135-273615;;182,89917;-27,60443;
5BZBJ1211+2242;BL Lac;182,99449;22,70900;0,453
PMN J1212-2327;;183,01894;-23,46165;
4FGL J1212.1+6412;;183,04245;64,21502;
NVSS J121219+244130;;183,07909;24,69193;
1RXS J121240.3-14014;;183,16791;-14,02819;
5BZBJ1213+5129;BL Lac;183,25362;51,49331;0,796
5BZBJ1213-1003;BL Lac;183,34558;-10,05703;
5BZBJ1213-2618;BL Lac;183,34584;-26,30194;0,278
5BZQJ1213+1307;FSRQ;183,38400;13,12239;1,139
5BZQJ1213+0001;FSRQ;183,44807;0,02500;0,961
5BZBJ1213+6425;BL Lac;183,45337;64,42225;
PMN J1213-4343;;183,45998;-43,72353;
4FGL J1214.6-1926;;183,51541;-19,36189;
3HSPJ121407.5+290329;BL Lac;183,53133;29,05803;0,469
5BZQJ1214+0829;FSRQ;183,74962;8,48958;2,359
5BZBJ1215+5002;BL Lac;183,75325;50,03767;
5BZQJ1215+1654;FSRQ;183,76656;16,91053;1,132
4FGL J1215.0+5351;;183,77597;53,83122;0,338
5BZBJ1215+3508;BL Lac;183,78687;35,13705;0,882
5BZQJ1215+4627;FSRQ;183,79146;46,45419;0,720
5BZGJ1215+0732;;183,79575;7,53464;0,137
PKS 1213-17;;183,94480;-17,52928;
5BZQJ1215+6422;FSRQ;183,95380;64,37458;3,233
5BZQJ1215+3448;FSRQ;183,98167;34,80422;0,857
PMN J1216-3734;;184,00840;-37,57031;
5BZBJ1216-0243;;184,01363;-2,71825;0,359
5BZGJ1216+0929;;184,02591;9,48594;0,094
3HSPJ121618.4+205957;BL Lac;184,07646;20,99917;0,607
5BZQJ1216-1033;FSRQ;184,10167;-10,55433;0,636
5BZBJ1216+0541;BL Lac;184,20830;5,69353;
5BZQJ1217+2925;FSRQ;184,28438;29,42597;0,974
5BZQJ1217+5835;FSRQ;184,29588;58,59061;2,550
5BZQJ1217+3305;FSRQ;184,38557;33,09400;2,606
5BZQJ1217+5155;FSRQ;184,40271;51,91950;2,224
5BZBJ1217+3007;BL Lac;184,46700;30,11683;0,130
5BZBJ1217-0029;BL Lac;184,49471;-0,49619;0,419
NVWJ1218.5+2828;;184,52680;28,47290;
3HSPJ121815.8+322345;BL Lac;184,56566;32,39572;0,630
5BZBJ1218-0119;BL Lac;184,64554;-1,33175;
3FGL J1218.8-4827;;184,75937;-48,44108;
3HSPJ121903.0+402443;BL Lac;184,76247;40,41183;0,500
5BZQJ1219+4829;FSRQ;184,77672;48,49892;1,076
NVSS J121915+365718;;184,81426;36,95515;
3HSPJ121919.4+303937;BL Lac;184,83080;30,66039;0,243
4FGL J1219.6+0550;;184,84674;5,82492;
5BZQJ1219+6600;FSRQ;184,89912;66,00883;1,266
87GB 121716.0+611442;;184,91094;60,96561;
5BZBJ1219+0446;BL Lac;184,93742;4,77289;0,280
5BZBJ1219-0314;BL Lac;184,94046;-3,24000;0,299
5BZQJ1220+7105;FSRQ;185,01512;71,09197;0,451
5BZBJ1220+3431;BL Lac;185,03455;34,52270;
5BZQJ1220+0203;FSRQ;185,04950;2,06172;0,240
5BZBJ1220-0003;BL Lac;185,05058;-0,05158;0,700
3HSPJ122014.5-245949;BL Lac;185,06055;-24,99683;0,480
3HSPJ122019.8-371414;BL Lac;185,08255;-37,23728;0,280
3HSPJ122033.6+033808;BL Lac;185,14009;3,63553;0,800
3HSPJ122044.6+690525;BL Lac;185,18567;69,09039;0,360
5BZQJ1220+3808;FSRQ;185,24680;38,14878;1,108
5BZGJ1221+4742;;185,28241;47,70792;0,210
3HSPJ122114.4+352240;BL Lac;185,31018;35,37769;0,510
5BZBJ1221+3010;BL Lac;185,34142;30,17697;0,180
5BZQJ1221-0241;FSRQ;185,34976;-2,69711;0,665
5BZQJ1221+4411;FSRQ;185,36267;44,19159;1,347
5BZBJ1221+2813;BL Lac;185,38205;28,23292;0,102
5BZGJ1221+0821;;185,38358;8,36228;0,132
3HSPJ122158.1+493414;BL Lac;185,49196;49,57050;0,598
3HSPJ122208.8+030719;BL Lac;185,53659;3,12181;0,503
2MASS J12222007-4122;;185,54233;-41,38265;
5BZBJ1222+3540;BL Lac;185,54758;35,68286;0,570
5BZQJ1222+0413;FSRQ;185,59392;4,22103;0,966
3HSPJ122239.4-345842;BL Lac;185,66412;-34,97822;
5BZQJ1222+2934;FSRQ;185,68008;29,57820;0,787
3HSPJ122304.9+453444;BL Lac;185,77042;45,57894;0,430
3HSPJ122307.2+110038;BL Lac;185,78017;11,01058;0,500
3HSPJ122327.5+082031;BL Lac;185,86458;8,34181;
4FGL J1223.3+1213;;185,86829;12,12574;
3HSPJ122337.0-303250;BL Lac;185,90422;-30,54725;0,260
5BZQJ1223+4611;FSRQ;185,91393;46,18850;1,012
3HSPJ122340.2+124204;BL Lac;185,91728;12,70100;0,340
5BZBJ1223+8040;BL Lac;185,91872;80,66786;
MG1 J122332+1208;;185,95291;12,04040;
3HSPJ122352.1+302727;BL Lac;185,96716;30,45745;0,630
5BZGJ1223+4650;;185,97105;46,84692;0,250
5BZQJ1223+0650;FSRQ;185,97758;6,83406;1,189
5BZBJ1223+7953;BL Lac;185,99258;79,89140;0,290
5BZBJ1224+2239;BL Lac;186,00433;22,66081;0,482
5BZQJ1224+5001;FSRQ;186,04129;50,03209;1,062
5BZBJ1224+2436;BL Lac;186,10075;24,60653;0,218
NVWJ1224.5+3832;;186,20908;38,54683;
5BZBJ1224+4335;BL Lac;186,21463;43,58870;
5BZQJ1224+0330;FSRQ;186,21841;3,51397;0,956
5BZUJ1224-8313;;186,22659;-83,21947;
5BZQJ1224+2122;FSRQ;186,22691;21,37955;0,434
5BZUJ1225+4834;;186,27708;48,57644;0,647
5BZBJ1225+7214;;186,30891;72,24670;0,114
AT20G J122515-284956;;186,31465;-28,83146;
3HSPJ122525.3-155317;BL Lac;186,35538;-15,88806;0,340
3FGL J1225.7-7314;;186,39705;-73,22764;
3HSPJ122536.8-344722;BL Lac;186,40341;-34,78942;0,310
SDSS J122602.81+5622;;186,51173;56,38189;
5BZGJ1226+2604;;186,51717;26,07447;0,176
5BZBJ1226+0638;BL Lac;186,68411;6,64836;0,583
5BZBJ1226-1328;BL Lac;186,72676;-13,47747;
5BZQJ1226+4340;FSRQ;186,74129;43,68289;2,009
5BZBJ1227-4436;BL Lac;186,86118;-44,61064;
WN B1225.8+7537;;186,96982;75,34495;
5BZQJ1227+4932;FSRQ;186,98216;49,54889;1,348
5BZBJ1228-0221;BL Lac;187,03809;-2,36006;0,323
3HSPJ122820.5+155655;BL Lac;187,08554;15,94864;0,232
5BZQJ1228+3128;FSRQ;187,10403;31,47711;2,195
5BZQJ1228-0304;FSRQ;187,15384;-3,07753;1,804
5BZQJ1228+3706;FSRQ;187,19759;37,10333;1,517
5BZQJ1228+4858;FSRQ;187,21571;48,96703;1,719
NVSS J122900-031758;;187,25124;-3,29942;
3HSPJ122903.0-140251;BL Lac;187,26259;-14,04761;0,470
5BZQJ1229+0203;FSRQ;187,27792;2,05239;0,158
4FGL J1229.1+5521;;187,28870;55,37516;
5BZQJ1229+0423;FSRQ;187,31792;4,38917;1,027
3FGL J1229.8-5305;;187,41637;-53,05894;
3HSPJ122944.5+164005;BL Lac;187,43555;16,66797;0,682
NVWJ1230.0+7459;;187,50060;74,98420;
5BZBJ1230+2518;BL Lac;187,55870;25,30197;0,135
5BZUJ1230-3121;;187,68721;-31,35647;2,276
3FGL J1230.9+1224;;187,70593;12,39112;0,004
5BZQJ1230-1139;FSRQ;187,73149;-11,65272;3,528
5BZBJ1231+1421;BL Lac;187,84959;14,35681;0,256
B2 1228+37;;187,85039;37,18393;
5BZQJ1231+0418;FSRQ;187,86496;4,30053;1,030
5BZBJ1231+6414;BL Lac;187,88080;64,23841;0,163
5BZBJ1231+2847;BL Lac;187,93163;28,79714;0,236
5BZQJ1232-0224;FSRQ;188,00005;-2,40147;1,043
3HSPJ123205.0-105601;BL Lac;188,02071;-10,93350;0,190
ATLAS-RFC;;188,06608;-10,25699;
5BZQJ1232+4821;FSRQ;188,14496;48,35917;1,588
3HSPJ123236.0-372057;BL Lac;188,14980;-37,34914;0,250
NVWJ1232.9-0554;;188,23060;-5,90460;
5BZQJ1233-0031;FSRQ;188,26691;-0,52619;0,471
5BZBJ1233+1701;BL Lac;188,27145;17,02592;0,240
5BZQJ1233-1025;FSRQ;188,30472;-10,42189;2,394
5BZBJ1233-0144;BL Lac;188,42221;-1,73992;
5BZGJ1233+5026;;188,45529;50,43967;0,207
3HSPJ123353.4+145926;BL Lac;188,47263;14,99047;0,520
3HSPJ123402.4+281502;BL Lac;188,50987;28,25056;0,424
3FGL J1233.9-5736;;188,52933;-57,59803;
5BZQJ1234+4753;FSRQ;188,55554;47,89756;0,374
5BZBJ1234-3856;BL Lac;188,57146;-38,94308;0,236
5BZBJ1234+3910;BL Lac;188,66229;39,17966;0,584
3HSPJ123444.2-043622;BL Lac;188,68425;-4,60622;
5BZGJ1234-2432;;188,70720;-24,54247;0,182
5BZQJ1235+3621;FSRQ;188,77420;36,35536;1,600
5BZBJ1235-1403;BL Lac;188,79662;-14,05650;0,400
5BZGJ1235+1700;;188,87021;17,01017;0,381
5BZQJ1235+5228;FSRQ;188,87733;52,47436;1,653
3HSPJ123554.7+055214;BL Lac;188,97804;5,87044;0,682
5BZBJ1236+3900;BL Lac;189,09595;39,00031;0,389
NVWJ1237.5+1730;;189,26980;17,51130;
5BZBJ1237+3020;BL Lac;189,27328;30,33478;0,330
5BZBJ1237+6258;BL Lac;189,41284;62,97856;0,297
3HSPJ123800.2+263553;BL Lac;189,50070;26,59814;0,210
5BZQJ1238+0723;FSRQ;189,51016;7,38939;1,172
3FGL J1238.3-4543;;189,52516;-45,69157;
5BZQJ1238-1159;FSRQ;189,53084;-11,99000;1,320
5BZUJ1238+5325;;189,53238;53,43222;0,348
5BZUJ1238-1959;;189,60159;-19,98714;
5BZBJ1238+4431;BL Lac;189,60841;44,52697;0,312
5BZGJ1238+5406;;189,63017;54,11442;0,224
5BZBJ1239+4132;BL Lac;189,84471;41,54766;0,160
5BZUJ1239+0730;;189,85246;7,50478;0,400
5BZQJ1239+0443;FSRQ;189,88651;4,71811;1,761
5BZQJ1239-1023;FSRQ;189,92941;-10,39130;0,751
3HSPJ124021.2-714858;BL Lac;190,08838;-71,81603;0,210
PMN J1240-2608;;190,12093;-26,15525;
NVWJ1240.8+1347;;190,20057;13,79407;
5BZBJ1241+3400;BL Lac;190,28929;34,01058;
3HSPJ124112.1+495548;BL Lac;190,30029;49,93003;0,225
B3 1239+429;;190,37509;42,66060;
5BZBJ1241+3440;BL Lac;190,42250;34,67530;0,540
5BZBJ1241+0636;BL Lac;190,45125;6,60028;0,510
5BZBJ1241-1455;BL Lac;190,45584;-14,93278;0,440
5BZBJ1242-1653;BL Lac;190,58525;-16,88444;
5BZBJ1242+7634;;190,63463;76,57159;0,480
5BZQJ1242+3751;FSRQ;190,71405;37,85000;1,317
5BZGJ1243+5212;;190,78741;52,21253;0,200
5BZQJ1243-2943;FSRQ;190,79442;-29,72292;1,135
S5 1241+73;;190,79674;73,26646;
5BZBJ1243+3627;BL Lac;190,80292;36,46219;0,310
SDSS J124318.91+3951;;190,82881;39,85491;
5BZQJ1243-3941;FSRQ;190,89233;-39,69791;1,387
5BZGJ1243-0613;;190,89380;-6,22250;0,139
5BZQJ1243+7442;FSRQ;190,93762;74,71030;0,782
3FGL J1243.9-0217;;190,96870;-2,31067;
5BZQJ1243+4043;FSRQ;190,98242;40,73292;1,518
3FGL J1244.1+1615;;190,99020;16,38150;
3FGL J1244.3-4955;;191,09573;-49,90619;
5BZBJ1244+0444;BL Lac;191,10538;4,74989;0,400
3HSPJ124430.8+351003;BL Lac;191,12813;35,16753;0,650
5BZBJ1244+1616;BL Lac;191,18480;16,27270;0,456
5BZBJ1245+5709;BL Lac;191,29167;57,16511;
5BZBJ1245+0228;BL Lac;191,39079;2,47367;
5BZQJ1245+4346;FSRQ;191,49997;43,77414;1,150
5BZBJ1246+0113;BL Lac;191,51050;1,22189;0,386
5BZQJ1246-0730;FSRQ;191,51762;-7,51294;1,286
5BZQJ1246-2547;FSRQ;191,69501;-25,79703;0,635
5BZBJ1247+4423;BL Lac;191,75305;44,38883;0,600
NVWJ1247.8+3247;;191,79030;32,78480;
5BZQJ1247+1022;FSRQ;191,94725;10,37544;1,382
3HSPJ124816.6+074259;BL Lac;192,06934;7,71628;0,570
5BZBJ1248+5820;BL Lac;192,07826;58,34130;
5BZQJ1248-0632;FSRQ;192,09575;-6,53606;0,762
5BZBJ1248+0830;BL Lac;192,10791;8,50583;0,430
5BZQJ1248-4559;FSRQ;192,11874;-45,99644;1,020
5BZBJ1248+5128;BL Lac;192,14293;51,46886;0,351
87GB 124632.9+485605;;192,21229;48,66477;
3HSPJ124919.3-280834;BL Lac;192,33046;-28,14289;0,150
GALEXASC J124919.46-;;192,33068;-5,76105;
5BZBJ1249+3707;BL Lac;192,44475;37,12992;0,286
5BZBJ1250+3155;BL Lac;192,56479;31,93317;0,600
5BZBJ1250+0216;BL Lac;192,63571;2,27558;0,959
NVSS J125051+311706;;192,71600;31,28510;
5BZQJ1251-1717;FSRQ;192,81033;-17,28700;0,606
5BZBJ1251+1039;BL Lac;192,82454;10,65147;0,245
3FGL J1251.0-0203;;192,82678;-2,03548;
5BZBJ1251-2958;BL Lac;192,89537;-29,97858;0,480
5BZQJ1251-3518;FSRQ;192,91345;-35,31100;0,410
5BZQJ1252+6451;FSRQ;193,09912;64,86056;0,312
NVWJ1252.0-1158;;193,11030;-11,96880;
5BZBJ1252+0849;BL Lac;193,14409;8,82889;0,370
5BZBJ1252+2937;BL Lac;193,14441;29,62572;0,528
5BZQJ1252-3319;FSRQ;193,24333;-33,33322;0,856
5BZBJ1253+3826;BL Lac;193,25380;38,44055;0,372
5BZBJ1253+5301;BL Lac;193,29967;53,01992;
5BZGJ1253-3931;;193,42188;-39,53322;0,179
5BZGJ1253+0326;;193,44579;3,44169;0,066
5BZBJ1253+6242;BL Lac;193,49757;62,71589;0,300
5BZQJ1253-4059;FSRQ;193,49803;-40,99186;4,464
FIRST J125405.0+2927;;193,52101;29,45247;
3HSPJ125408.1-280932;BL Lac;193,53392;-28,15883;
3FGL J1254.1-2203;;193,59367;-22,07050;
5BZBJ1254+2211;BL Lac;193,63863;22,18436;0,420
5BZQJ1254-2000;FSRQ;193,65521;-20,01570;0,959
5BZQJ1254+1141;FSRQ;193,65984;11,68497;0,872
3HSPJ125445.5+470133;BL Lac;193,68947;47,02570;0,400
3HSPJ125447.6-142151;BL Lac;193,69846;-14,36406;0,550
3HSPJ125449.3+570453;BL Lac;193,70538;57,08131;0,840
5BZGJ1254-4424;;193,73962;-44,41572;0,041
5BZQJ1255+0340;FSRQ;193,75209;3,67864;0,437
NVWJ1255.5+6527;;193,75550;65,46050;
3HSPJ125509.8+280418;BL Lac;193,79088;28,07158;0,690
3HSPJ125528.6+091100;BL Lac;193,86925;9,18339;0,700
5BZQJ1255+1817;FSRQ;193,88229;18,29747;1,366
5BZQJ1255+6124;FSRQ;193,93755;61,41414;2,055
3HSPJ125548.1+141109;BL Lac;193,95026;14,18578;0,600
5BZBJ1255+3848;BL Lac;193,98083;38,80314;0,560
3FGL J1256.1-5919;;194,02043;-59,32886;
5BZQJ1256-0547;FSRQ;194,04654;-5,78931;0,536
5BZGJ1256-1146;;194,06645;-11,77703;0,058
5BZUJ1256-2155;;194,10629;-21,92258;0,129
3FGL J1256.7+5328;;194,16095;53,57325;
5BZBJ1256+0609;BL Lac;194,16396;6,15225;0,423
3HSPJ125655.8+263230;;194,23230;26,54170;
5BZUJ1257+0024;;194,26300;0,41000;1,259
3HSPJ125708.4+264926;BL Lac;194,28488;26,82380;0,375
5BZBJ1257+3647;BL Lac;194,31909;36,78747;0,531
3HSPJ125724.0+483232;BL Lac;194,34984;48,54234;0,727
5BZBJ1257+2412;BL Lac;194,38304;24,21114;0,140
5BZQJ1257+3229;FSRQ;194,48846;32,49147;0,805
5BZQJ1257-3155;FSRQ;194,49608;-31,92136;1,924
NVWJ1258.9-2052;;194,54450;-20,86810;
5BZBJ1258+6120;BL Lac;194,58662;61,34597;0,224
3HSPJ125821.5+212351;BL Lac;194,58942;21,39753;0,500
3HSPJ125822.8+062827;BL Lac;194,59505;6,47422;0,542
3FGL J1258.7+5137;;194,60600;51,70713;
5BZQJ1258-1800;FSRQ;194,65959;-18,00086;1,956
5BZBJ1258-0447;;194,70018;-4,79586;0,586
5BZQJ1258-2219;FSRQ;194,72701;-22,32531;1,303
5BZBJ1258+0134;BL Lac;194,72749;1,57817;
5BZUJ1259-2310;;194,78525;-23,17742;0,481
3HSPJ125908.7+412938;BL Lac;194,78604;41,49386;0,278
5BZQJ1259-2436;FSRQ;194,80263;-24,60153;2,263
4FGL J1259.5+2332;;194,90117;23,51310;
3HSPJ125949.8-374858;BL Lac;194,95750;-37,81614;0,230
LEDA 4075145;;194,95764;-32,39138;
5BZBJ1300+1755;BL Lac;195,03551;17,92711;0,550
5BZBJ1300+6344;BL Lac;195,07321;63,74450;
NVWJ1300.9+4352;;195,08390;43,87340;
5BZQJ1300+1417;FSRQ;195,08711;14,28847;1,106
5BZQJ1300+2830;FSRQ;195,11888;28,50283;0,649
5BZBJ1300+5351;BL Lac;195,13658;53,85350;
3FGL J1300.2+1416;;195,17099;14,29150;
5BZQJ1300+5029;FSRQ;195,17188;50,49355;1,561
5BZQJ1300-3253;FSRQ;195,17688;-32,88670;1,256
3HSPJ130058.5-231215;BL Lac;195,24391;-23,20422;0,129
5BZUJ1301-3226;;195,25334;-32,44128;0,017
5BZQJ1301+3337;FSRQ;195,37146;33,61675;1,009
5BZGJ1301+4634;;195,38593;46,56744;0,205
5BZBJ1301+4056;BL Lac;195,44017;40,94017;0,649
5BZBJ1301+4416;BL Lac;195,44296;44,27206;
5BZQJ1302+4819;FSRQ;195,57166;48,32156;0,874
TXS 1300+693;;195,65801;69,04767;
4FGL J1302.7+4750;;195,70293;47,91963;0,140
5BZUJ1302+5748;;195,71863;57,81044;1,088
5BZBJ1302+5056;BL Lac;195,73059;50,93842;0,688
5BZBJ1303+2433;BL Lac;195,76346;24,56550;
5BZUJ1303-1051;;195,80779;-10,85475;
5BZQJ1303-4621;FSRQ;195,91783;-46,35064;1,664
3FGL J1304.3-5535;;195,95506;-55,67545;
B2 1301+37;;196,03052;37,15228;
3FGL J1304.2-2411;;196,06990;-24,20473;
