identifier;type;ra [°];dec [°];redshift
3HSPJ003532.9-131714;BL Lac;8,88708;-13,28733;
3HSPJ003539.6-181652;BL Lac;8,91508;-18,28100;0,327
4FGL J0035.8-0837;;8,94271;-8,59834;0,032
5BZBJ0035+5950;BL Lac;8,96925;59,83453;0,086
5BZQJ0036-0932;FSRQ;9,02896;-9,54156;1,182
3HSPJ003631.7-031327;BL Lac;9,13204;-3,22414;0,317
4FGL J0036.8+1431;;9,14629;14,56767;
CRATES J003659.39+18;;9,24755;18,53435;
5BZQJ0037-2145;FSRQ;9,31179;-21,75686;2,513
MG3 J003720+2613;;9,32983;26,22006;
5BZBJ0037+2141;;9,34808;21,69814;0,598
3HSPJ003736.2-230226;BL Lac;9,40100;-23,04045;0,360
NVSS J003751+365844;;9,44226;36,98636;
5BZBJ0037+1238;BL Lac;9,46200;12,63889;
NVWJ0038.0+1002;;9,52420;10,03683;
5BZBJ0038+0013;BL Lac;9,53537;0,22683;0,740
5BZQJ0038-2459;FSRQ;9,56138;-24,98394;0,498
3C 17;;9,58506;-2,12791;
5BZQJ0038-0329;FSRQ;9,58663;-3,49967;1,858
5BZQJ0038+4137;FSRQ;9,60350;41,61842;1,353
5BZQJ0038+1856;FSRQ;9,62033;18,93825;1,193
5BZQJ0039-0942;FSRQ;9,77617;-9,71300;2,102
3FGL J0039.1+4330;;9,78400;43,50406;
3HSPJ003908.2-222001;BL Lac;9,78421;-22,33372;0,064
5BZQJ0039-1111;FSRQ;9,88158;-11,18400;0,552
5BZBJ0039+1411;;9,91504;14,19931;1,738
5BZUJ0040+4050;;10,05754;40,83464;0,240
5BZBJ0040-2719;BL Lac;10,06838;-27,31989;0,172
5BZGJ0040-2340;;10,10375;-23,66683;0,213
5BZBJ0040-3225;BL Lac;10,12771;-32,42225;
3HSPJ004040.9-232200;BL Lac;10,17029;-23,36675;0,180
NVWJ0040.0-2902;;10,21840;-29,03753;
5BZQJ0040-0146;FSRQ;10,24004;-1,77553;1,178
