Updated classification?;identifier;type;ra [°];dec [°];redshift;nh [cm-2];log10(nu_peak);log10(nu F_nu);BlaST: log10(nu_peak);BlaST: +/-;W-peak: error/warning;Source confusion;W-peak: flux ratio;W-peak: slope;W-peak: log10(nu_peak);W-peak: +/-;W-peak: log10(nu F_nu);W-peak: lim- log10(nu F_nu);W-peak: lim+ log10(nu F_nu)
Yes;5BZGJ0059-0150;;14,82050;-1,83825;0,114;4,25E+20;17,2;-11,6;17,2;0,5;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 15 arcseconds;1,6;1,40;17,5;0,0;-11,33;0,00;0,00
Yes;3HSPJ005931.5-351049;BL Lac;14,88112;-35,18031;0,310;1,68E+20;16,2;-12,0;15,6;0,7;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;No possible source for confusion within 20 arcseconds;1,6;1,08;17,5;0,0;-11,61;0,00;0,00
Yes;5BZQJ0100-3337;FSRQ;15,03871;-33,62561;0,874;1,86E+20;13,0;-12,5;13,0;0,6;;There are no confusing sources at this position. The closest object is located at 12 arcseconds;1,9;0,67;16,2;0,4;-12,11;-12,21;-11,93
No;3HSPJ010010.7-023452;BL Lac;15,04467;-2,58100;0,199;3,61E+20;;;15,8;0,4;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;There are no confusing sources at this position. The closest object is located at 14 arcseconds;1,2;;;;;;
Yes;5BZUJ0100+0745;;15,08667;7,76428;;4,45E+20;12,9;-12,1;12,9;0,4;;No possible source for confusion within 20 arcseconds;2,0;-0,23;13,0;0,4;-12,11;-12,28;-11,98
No;5BZQJ0100+3345;FSRQ;15,15954;33,75172;2,144;4,41E+20;;;13,4;1,1;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 19 arcseconds;;;;;;;
Yes;5BZBJ0100-0055;BL Lac;15,24242;-0,92983;;3,28E+20;14,1;-12,2;14,2;0,5;;No possible source for confusion within 20 arcseconds;2,2;0,29;14,7;0,4;-12,12;-12,29;-11,94
No;3HSPJ010116.3+273058;BL Lac;15,31779;27,51611;0,500;6,07E+20;;;16,1;0,5;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 13 arcseconds;;;;;;;
No;3HSPJ010142.0-545547;BL Lac;15,42504;-54,92984;0,280;1,75E+20;;;15,9;0,4;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 10 arcseconds;1,4;1,32;17,5;0,0;-11,59;0,00;0,00
Yes;TXS 0059+163;;15,49050;16,66138;;4,05E+20;13,1;-12,4;13,1;0,4;;No possible source for confusion within 20 arcseconds;3,2;-0,45;12,7;0,4;-12,34;-12,52;-12,02
Yes;MRSS 151-117213;;15,54356;-56,61791;;2,01E+20;13,4;-12,5;13,4;0,8;;No possible source for confusion within 20 arcseconds;2,3;0,16;14,2;0,4;-12,55;-12,71;-12,35
Yes;5BZQJ0102-8012;FSRQ;15,56175;-80,21095;1,169;5,34E+20;12,9;-12,2;13,1;1,0;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 20 arcseconds;;;;;;;
No;2MASS J01021713+0944;;15,57130;9,73600;;3,57E+20;;;14,7;0,4;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 6 arcseconds, vmag=18.6;;;;;;;
Yes;5BZQJ0102-7546;FSRQ;15,57750;-75,78084;1,017;7,33E+20;12,6;-11,8;12,8;0,5;;There are no confusing sources at this position. The closest object is located at 15 arcseconds;1,4;-0,76;12,3;0,4;-11,77;-11,83;-11,67
Yes;5BZQJ0102+4214;FSRQ;15,61300;42,23869;0,874;7,58E+20;12,8;-12,0;12,9;0,4;;There are no confusing sources at this position. The closest object is located at 15 arcseconds;9,2;-0,45;12,7;0,4;-12,21;-12,61;-11,65
Yes;5BZUJ0102+5824;;15,69067;58,40308;0,644;3,53E+21;12,9;-11,0;13,2;0,6;;Possible confusing source at distance of 6 arcseconds, vmag=100.0;17,2;-0,46;12,7;0,4;-10,77;-11,58;-10,34
Yes;3HSPJ010250.9-200158;BL Lac;15,71225;-20,03280;0,270;1,29E+20;16,5;-12,2;16,5;0,5;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;Possible confusing source at distance of 7 arcseconds, vmag=100.0;1,3;1,23;17,5;0,0;-11,49;0,00;0,00
No;5BZQJ0102-2646;FSRQ;15,73475;-26,77670;1,597;nH;;;13,4;1,3;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
Yes;GB6 J0103+4959;;15,81538;49,99123;;1,25E+21;13,0;-12,2;13,3;0,5;;Possible confusing source at distance of 8 arcseconds, vmag=17.2;6,4;-0,16;13,0;0,4;-12,21;-12,66;-11,86
No;3HSPJ010325.9+533713;BL Lac;15,85787;53,62039;0,150;1,99E+21;;;15,9;1,1;;Possible confusing source at distance of 8 arcseconds, vmag=17.4;1,7;1,54;17,5;0,0;-11,04;0,00;0,00
Yes;5BZGJ0103+1526;;15,85837;15,44022;0,246;4,06E+20;13,0;-12,3;14,8;1,0;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 16 arcseconds;1,4;1,25;17,5;0,0;-11,21;0,00;0,00
No;5BZGJ0103+4322;;15,87021;43,38331;;7,20E+20;;;15,5;0,6;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;There are no confusing sources at this position. The closest object is located at 11 arcseconds;1,2;;;;;;
Yes;5BZUJ0103-6439;;15,89050;-64,65211;0,163;2,60E+20;13,0;-11,5;12,7;0,4;;Possible confusing source at distance of 5 arcseconds, vmag=100.0;1,3;0,07;13,9;0,4;-11,55;-11,62;-11,49
Yes;3FGL J0103.7+1323;;15,94059;13,39590;;3,31E+20;14,8;-11,9;14,8;0,6;;Possible confusing source at distance of 8 arcseconds, vmag=100.0;1,7;0,53;15,6;0,4;-11,68;-11,81;-11,58
Yes;3HSPJ010353.2+351323;BL Lac;15,97175;35,22297;0,450;3,91E+20;15,6;-12,4;16,0;0,4;;No possible source for confusion within 20 arcseconds;3,0;0,53;15,7;0,4;-12,31;-12,53;-12,04
No;3HSPJ010437.1+340128;;16,15470;34,02450;;4,37E+20;;;15,3;0,3;Not enough flux variability. Flux too close to background. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;No possible source for confusion within 20 arcseconds;1,2;;;;;;
Yes;5BZQJ0104-2416;FSRQ;16,24250;-24,27456;1,747;1,69E+20;12,5;-12,2;12,6;0,3;;There are no confusing sources at this position. The closest object is located at 19 arcseconds;3,8;-0,73;12,3;0,4;-12,25;-12,54;-11,96
Yes;3HSPJ010501.9+503320;BL Lac;16,25779;50,55556;0,260;1,43E+21;17,0;-12,4;16,8;0,5;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;There are no confusing sources at this position. The closest object is located at 12 arcseconds;1,1;;;;;;
Yes;5BZBJ0105+3928;BL Lac;16,28875;39,47092;0,440;5,30E+20;13,5;-11,8;13,5;0,5;;There are no confusing sources at this position. The closest object is located at 12 arcseconds;39,2;-0,22;13,0;0,4;-11,71;-12,58;-10,99
No;3HSPJ010528.1-171222;BL Lac;16,36717;-17,20620;0,147;1,31E+20;;;16,4;0,5;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 14 arcseconds;;;;;;;
No;3HSPJ010547.2+393922;BL Lac;16,44662;39,65614;0,450;5,18E+20;;;16,8;0,5;Not enough flux variability. Flux too close to background. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;There are no confusing sources at this position. The closest object is located at 17 arcseconds;1,2;;;;;;
