Updated classification?;identifier;type;ra [°];dec [°];redshift;nh [cm-2];log10(nu_peak);log10(nu F_nu);BlaST: log10(nu_peak);BlaST: +/-;W-peak: error/warning;Source confusion;W-peak: flux ratio;W-peak: slope;W-peak: log10(nu_peak);W-peak: +/-;W-peak: log10(nu F_nu);W-peak: lim- log10(nu F_nu);W-peak: lim+ log10(nu F_nu)
Yes;5BZUJ0106+3402;;16,50121;34,03416;0,579;4,60E+20;12,9;-12,2;13,0;0,5;;There are no confusing sources at this position. The closest object is located at 18 arcseconds;2,6;-0,38;12,8;0,4;-12,14;-12,26;-11,84
No;5BZGJ0106+2539;;16,54571;25,65847;0,199;6,31E+20;;;14,8;0,8;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;Possible confusing source at distance of 8 arcseconds, vmag=100.0;1,1;;;;;;
No;5BZQJ0106-0155;FSRQ;16,59579;-1,92733;2,194;3,14E+20;;;12,3;0,5;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
Yes;5BZQJ0106-2718;FSRQ;16,60867;-27,30328;2,486;1,58E+20;12,6;-12,3;12,5;0,7;;No possible source for confusion within 20 arcseconds;1,5;-0,45;12,7;0,4;-12,47;-12,56;-12,38
No;5BZQJ0106-1034;FSRQ;16,68396;-10,56953;0,469;3,30E+20;;;13,6;0,9;Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 9 arcseconds;1,5;-0,25;12,9;0,4;-11,92;-12,00;-11,81
Yes;5BZQJ0106-4034;FSRQ;16,68796;-40,57222;0,584;1,86E+20;12,4;-11,8;12,2;0,4;;No possible source for confusion within 20 arcseconds;2,9;-0,56;12,5;0,4;-11,80;-12,09;-11,64
Yes;GALEXASC J010704.23-;;16,73195;-48,52481;;2,11E+20;12,5;-12,4;14,5;1,1;;Possible confusing source at distance of 9 arcseconds, vmag=100.0;2,8;-0,63;12,5;0,4;-12,46;-12,70;-12,25
No;NVWJ0107.1+2907;;16,78810;29,12070;;5,95E+20;;;15,9;0,5;;There are no confusing sources at this position. The closest object is located at 10 arcseconds;2,0;0,55;15,7;0,4;-12,13;-12,26;-11,95
Yes;3FGL J0107.0-1208;;16,79912;-12,18993;;2,17E+20;14,2;-12,0;14,3;0,6;;No possible source for confusion within 20 arcseconds;1,8;1,05;17,5;0,0;-11,50;0,00;0,00
Yes;4FGL J0107.6+4950;;16,84209;49,79670;;1,21E+21;14,7;-12,2;14,8;0,7;;There are no confusing sources at this position. The closest object is located at 11 arcseconds;2,3;0,16;14,2;0,4;-12,21;-12,36;-12,00
Yes;4FGL J0107.4+0334;;16,86905;3,56350;;2,51E+20;13,3;-12,1;13,4;0,7;;No possible source for confusion within 20 arcseconds;7,9;-0,30;12,9;0,4;-11,94;-12,51;-11,61
Yes;5BZQJ0107+2611;FSRQ;16,94950;26,18572;0,522;7,18E+20;12,8;-12,6;12,8;0,5;Flux too close to background. ;There are no confusing sources at this position. The closest object is located at 11 arcseconds;1,4;;;;;;
No;5BZQJ0108-0037;FSRQ;17,11183;-0,62339;1,374;3,71E+20;;;12,8;0,4;Not enough flux variability. ;There are no confusing sources at this position. The closest object is located at 16 arcseconds;1,3;;;;;;
Yes;5BZQJ0108+0135;FSRQ;17,16154;1,58342;2,099;2,25E+20;12,7;-11,3;12,8;0,3;;No possible source for confusion within 20 arcseconds;12,8;-0,42;12,7;0,4;-11,42;-12,03;-10,93
